area;suites;bathrooms;parkings;value
216;2;2;2;2700000
240;2;3;1;2300000
154;1;3;1;1700000
230;3;3;2;2900000
128;1;3;2;1500000
270;3;3;2;3940000
115;2;3;1;1700000
117;1;3;1;1200000
272;3;3;3;4352000
88;1;3;1;1280000
170;1;2;1;1800000
160;1;3;2;1550000
136;1;3;1;970000
98;1;2;2;1600000
201;1;1;1;1990000
230;3;3;2;3770000
43;1;2;1;530260
263;3;3;3;3200000
204;1;3;2;4300000
245;1;3;2;3500000
112;1;3;1;1200000
95;1;1;1;1290000
140;1;3;1;1500000
158;1;3;1;2140000
169;1;3;1;1800000
112;1;3;1;1300000
223;2;3;3;3200000
231;2;2;2;2350000
207;1;1;1;2200000
179;1;3;1;1700000
150;1;3;2;1790000
188;1;3;1;1900000
89;2;3;2;1650000
100;1;2;2;1275000
138;1;2;1;1200000
114;1;3;1;1600000
170;1;3;2;2200000
170;1;1;2;2,00E+06
230;2;1;2;3490000
150;1;3;3;2800000
70;1;2;1;1029000
150;1;2;3;2790000
205;2;1;1;2220000
120;1;2;1;1500000
247;1;2;2;2120000
119;1;3;2;1695000
280;1;3;3;3200000
120;1;3;1;1270000
212;1;2;2;2590000
180;1;3;3;2980000
158;1;2;1;1590000
250;2;3;2;3390000
225;2;2;3;3,00E+06
220;1;3;1;2550000
112;1;3;2;1700000
207;1;3;2;2400000
156;1;1;2;2290000
219;3;3;2;2650000
190;1;3;3;2300000
140;1;2;1;950000
180;2;3;1;2120000
100;1;3;1;1228000
110;1;2;1;1485000
135;1;2;1;1440000
124;1;3;2;1680000
110;1;2;1;1400000
180;1;3;1;2100000
154;1;3;1;1800000
112;2;2;1;1790000
228;2;1;2;3160000
115;1;1;2;1500000
85;1;2;1;1180000
100;2;3;2;1650000
120;1;3;1;1380000
164;1;3;2;2500000
158;1;3;1;2100000
44;1;2;1;540000
300;2;3;2;3500000
210;2;1;1;2500000
141;1;3;2;1590000
125;1;3;1;998000
190;1;3;1;1980000
132;1;2;1;1300000
105;1;3;2;1500000
27;1;1;1;350000
162;1;3;1;1390000
100;1;3;2;1300000
186;1;3;1;1600000
190;1;3;1;1890000
178;3;3;3;2600000
98;2;3;1;1290000
96;1;3;1;1090000
207;1;3;2;2300000
150;2;3;3;1590000
162;1;3;1;1750000
150;1;2;1;1400000
